type,N,mac_avg_ns,series,win_avg_ns,win_over_mac,mac_over_win
float,100000000,65316000.0,C-Ofast,41123700.0,0.6296114275215874,1.5882812101051218
float,10,18.41,Java,8.02,0.4356328082563824,2.2955112219451372
float,100,132.21,Java,31.51,0.23833295514711444,4.195810853697239
float,1000,1280.0,Java,402.45,0.3144140625,3.180519319170083
float,10000,16780.41,Java,4111.4,0.24501189184292874,4.081434547842584
float,100000,177134.44,Java,41853.5,0.23628098522229782,4.232249154789922
float,1000000,1766054.7,Java,426575.0,0.24154121613560442,4.14008017347477
float,10000000,17678511.5,Java,4797500.0,0.2713746573064141,3.6849424700364772
float,100000000,170633548.0,Java,47195600.0,0.27659039241216504,3.6154545762740593
double,10,4.61,C-Ofast,1.93,0.4186550976138828,2.38860103626943
double,100,25.95,C-Ofast,12.51,0.4820809248554913,2.0743405275779376
double,1000,307.4,C-Ofast,196.19,0.6382238126219909,1.5668484632244253
double,10000,3624.0,C-Ofast,2140.55,0.5906594922737307,1.6930228212375322
double,100000,39515.0,C-Ofast,26352.0,0.6668859926610148,1.4995066788099576
double,1000000,808150.0,C-Ofast,358615.0,0.44374806657179977,2.2535309454428845
double,10000000,10067000.0,C-Ofast,5613950.0,0.5576586867984504,1.7932115533626056
double,100000000,113976000.0,C-Ofast,54936800.0,0.48200322874991225,2.0746748991568493
double,10,9.6,Java,5.92,0.6166666666666667,1.6216216216216215
double,100,89.16,Java,24.31,0.27265589950650515,3.667626491155903
double,1000,1271.15,Java,387.78,0.3050623451205601,3.27801846407757
double,10000,13323.11,Java,4274.4,0.32082599333038603,3.116954426352237
double,100000,139319.25,Java,41800.0,0.300030326031758,3.3329964114832538
double,1000000,1428505.0,Java,459705.0,0.3218084640935803,3.107438465972743
double,10000000,14679079.0,Java,6271050.0,0.4272100449898798,2.340768930242942
double,100000000,158262530.0,Java,61309900.0,0.38739365533964354,2.581353582374135
signed_char,10,5.15,C-Ofast,3.05,0.5922330097087378,1.6885245901639347
signed_char,100,45.84,C-Ofast,17.3,0.3773996509598604,2.6497109826589598
signed_char,1000,386.6,C-Ofast,171.28,0.44304190377651315,2.2571228397944885
signed_char,10000,4024.5,C-Ofast,1721.5,0.4277550006211952,2.3377868138251525
signed_char,100000,40880.0,C-Ofast,17442.0,0.4266634050880626,2.3437679165233343
signed_char,1000000,429150.0,C-Ofast,184875.0,0.4307934288710241,2.3212981744421906
signed_char,10000000,4955000.0,C-Ofast,1811600.0,0.36561049445005045,2.735151247516008
signed_char,100000000,49867000.0,C-Ofast,18125300.0,0.36347283774841077,2.7512372209011713
signed_char,10,9.64,Java,5.65,0.5860995850622407,1.7061946902654868
signed_char,100,51.06,Java,24.73,0.4843321582452017,2.0646987464617874
signed_char,1000,445.6,Java,219.47,0.49252692998204667,2.0303458331434823
signed_char,10000,4435.47,Java,2347.95,0.5293576554457587,1.8890819651185078
signed_char,100000,54730.79,Java,21564.0,0.39400125596579183,2.5380629753292525
signed_char,1000000,635583.4,Java,215670.0,0.3393260428135788,2.9470181295497753
signed_char,10000000,7322249.0,Java,2325250.0,0.31755953669425885,3.1490158047521772
signed_char,100000000,71810111.0,Java,23287000.0,0.32428580983533084,3.0836995319276848
